gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2243594526,Hellmayrea gularis,EC,"Yanacocha reserve, Pichincha",,1,-0.1667,-78.5834,4211,12,2007
2243662853,Hellmayrea gularis,EC,"Pichincha: Yanacocha, Volcán Pichincha",,1,-0.112,-78.585,3529,1,2012
2243873029,Hellmayrea gularis,EC,"Yanacocha reserve, Pichincha",,1,-0.1667,-78.5834,4211,4,2001
2243744126,Hellmayrea gularis,EC,"Manantial track, Cerro Blanco Reserve, 8km WSW Otavalo, Imbabura Province",,1,0.2111,-78.3433,3224,12,2016
2783404552,Hellmayrea gularis,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,11,2019
3585029150,Hellmayrea gularis,EC,Reserva Zuro Loma,Pichincha,1,-0.088671,-78.599754,3108,12,2021
3618223925,Hellmayrea gularis,EC,Reserva Zuro Loma,Pichincha,2,-0.088671,-78.599754,3108,11,2021
1190789481,Hellmayrea gularis,EC,"Chiquilpe Transecto impacto, Punto 6",Pichincha,1,-0.025,-78.595,2673,6,2004
2765286818,Hellmayrea gularis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,7,2019
1190806819,Hellmayrea gularis,EC,Guarumos Transecto impacto P04,Pichincha,1,-0.04933,-78.64436,2633,3,2007
2661652571,Hellmayrea gularis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,3,2019
1714008026,Hellmayrea gularis,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,1,2016
1190846771,Hellmayrea gularis,EC,"Chiquilpe Transecto impacto, Punto 8",Pichincha,1,-0.023,-78.593,2547,4,2004
2747441833,Hellmayrea gularis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,4,2019
3148527290,Hellmayrea gularis,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,2,2020
3137687178,Hellmayrea gularis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,1,2020
1190790345,Hellmayrea gularis,EC,Guarumos Transecto control P03,Pichincha,1,-0.04425,-78.64864,2601,5,2008
2658709690,Hellmayrea gularis,EC,Reserva Yanacocha,Pichincha,3,-0.111752,-78.584694,3528,2,2019
2110326943,Hellmayrea gularis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,2,2018
1788797082,Hellmayrea gularis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,6,2002
1190706425,Hellmayrea gularis,EC,"Chiquilpe Transecto impacto, Punto 6",Pichincha,1,-0.025,-78.595,2673,9,2003
1207032858,Hellmayrea gularis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,1,2005
1178200186,Hellmayrea gularis,EC,Reserva Yanacocha,Pichincha,3,-0.111752,-78.584694,3528,6,2014
3629080262,Hellmayrea gularis,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,3,2021
1190792432,Hellmayrea gularis,EC,"Chiquilpe Transecto impacto, Punto 10",Pichincha,1,-0.04,-78.61,3054,6,2004
589932889,Hellmayrea gularis,EC,"Reserva Geobotánica Pululahua (Upper part, >2000m)",Pichincha,1,0.022492,-78.50228,3043,11,2011
1353745801,Hellmayrea gularis,EC,Reserva Yanacocha,Pichincha,3,-0.111752,-78.584694,3528,2,2015
1184489760,Hellmayrea gularis,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,6,2013
1352636894,Hellmayrea gularis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,2,2015
1190962213,Hellmayrea gularis,EC,Guarumos Transecto control P04,Pichincha,1,-0.0435,-78.64925,2572,7,2005
2141357659,Hellmayrea gularis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,3,2018
590143502,Hellmayrea gularis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,2,2011
3297916268,Hellmayrea gularis,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,12,2020
1355721077,Hellmayrea gularis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,3,2015
1190640430,Hellmayrea gularis,EC,"Chiquilpe Transecto impacto, Punto 4",Pichincha,1,-0.027,-78.597,2672,8,2004
2174564592,Hellmayrea gularis,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,7,2018
3581532496,Hellmayrea gularis,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,8,2021
2226648497,Hellmayrea gularis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,7,2018
1190808242,Hellmayrea gularis,EC,Campanario Transecto control P04,Pichincha,1,-0.03086,-78.66378,2499,6,2008
1190940227,Hellmayrea gularis,EC,"Chiquilpe Transecto impacto, Punto 7",Pichincha,1,-0.024,-78.594,2629,10,2004
961503779,Hellmayrea gularis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,8,2005
1777498243,Hellmayrea gularis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,6,2011
1756672065,Hellmayrea gularis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,6,2012
3140211558,Hellmayrea gularis,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,1,2020
2036365583,Hellmayrea gularis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,1,2017
2161441149,Hellmayrea gularis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,4,2018
1190794654,Hellmayrea gularis,EC,"Chiquilpe Transecto impacto, Punto 3",Pichincha,1,-0.028,-78.598,2690,4,2003
2790477302,Hellmayrea gularis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,7,2019
2672639636,Hellmayrea gularis,EC,Reserva Geobotánica Pululahua--general area,Pichincha,1,0.040374,-78.50293,2405,3,2015
2750910334,Hellmayrea gularis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,4,2019
1190915144,Hellmayrea gularis,EC,Comunidad de Alaspungo,Pichincha,1,0.0035,-78.5935,2338,4,2007
829397886,Hellmayrea gularis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,1,2007
1190952995,Hellmayrea gularis,EC,"Chiquilpe Transecto impacto, Punto 4",Pichincha,1,-0.027,-78.597,2672,1,2003
2685006339,Hellmayrea gularis,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,7,2019
3540791065,Hellmayrea gularis,EC,Reserva Zuro Loma,Pichincha,1,-0.088671,-78.599754,3108,9,2021
2131803892,Hellmayrea gularis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,3,2002
3602025000,Hellmayrea gularis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,9,2021
1406106809,Hellmayrea gularis,EC,"Ecoruta (Quito-Nono road), temperate zone",Pichincha,1,-0.09409,-78.556305,3208,8,2001
2800082835,Hellmayrea gularis,EC,Reserva Zuro Loma,Pichincha,1,-0.088671,-78.599754,3108,11,2019
1190939049,Hellmayrea gularis,EC,Guarumos Transecto impacto P07,Pichincha,1,-0.04864,-78.64856,2580,6,2007
2177424609,Hellmayrea gularis,EC,Atajo/Shortcut from Yanacocha to Quito-Nono road,Pichincha,1,-0.087945,-78.59246,3158,6,2018
1190625299,Hellmayrea gularis,EC,"Chiquilpe Transecto impacto, Punto 4",Pichincha,1,-0.027,-78.597,2672,6,2005
1401320088,Hellmayrea gularis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,12,2015
1190838363,Hellmayrea gularis,EC,"Chiquilpe Transecto impacto, Punto 1",Pichincha,1,-0.03,-78.59,2743,7,2004
2171664689,Hellmayrea gularis,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,7,2018
1190876363,Hellmayrea gularis,EC,"Chiquilpe Transecto impacto, Punto 4",Pichincha,1,-0.027,-78.597,2672,4,2005
2082229934,Hellmayrea gularis,EC,"Reserva Geobotánica Pululahua (Upper part, >2000m)",Pichincha,1,0.022492,-78.50228,3043,6,2017
278284766,Hellmayrea gularis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,11,2002
1395587487,Hellmayrea gularis,EC,Reserva Yanacocha,Pichincha,3,-0.111752,-78.584694,3528,10,2015
2123466695,Hellmayrea gularis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,1,2005
2681827499,Hellmayrea gularis,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,6,2019
2136811302,Hellmayrea gularis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,2,2018
2102670681,Hellmayrea gularis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,10,2017
2742723927,Hellmayrea gularis,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,2,2019
2189580860,Hellmayrea gularis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,6,2018
2073408922,Hellmayrea gularis,EC,San Jorge Ecolodge (Quito),Pichincha,1,-0.11649,-78.52343,3187,6,2017
1190220117,Hellmayrea gularis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,9,2014
1190708397,Hellmayrea gularis,EC,"Chiquilpe Transecto impacto, Punto 9",Pichincha,1,-0.03,-78.61,3089,7,2004
