gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2215371047,Phalaropus tricolor,EC,Quito airport pond,Pichincha,1,-0.109842,-78.36495,2341,11,2018
1195735149,Phalaropus tricolor,EC,"Quito, Airport Pond",Pichincha,2,-0.106602,-78.36527,2341,11,2014
2219606908,Phalaropus tricolor,EC,Quito airport pond,Pichincha,1,-0.109842,-78.36495,2341,9,2018
2781046204,Phalaropus tricolor,EC,Quito airport pond,Pichincha,2,-0.109842,-78.36495,2341,10,2019
2700288579,Phalaropus tricolor,EC,Quito--Reservorio de Cumbayá,Pichincha,1,-0.193,-78.426834,2354,10,2019
3180558806,Phalaropus tricolor,EC,Quito--Reservorio de Cumbayá,Pichincha,2,-0.193,-78.426834,2354,9,2020
2793411828,Phalaropus tricolor,EC,Quito airport pond,Pichincha,2,-0.109842,-78.36495,2341,10,2019
2210267495,Phalaropus tricolor,EC,Quito--Reservorio de Cumbayá,Pichincha,7,-0.193,-78.426834,2354,10,2018
2771499037,Phalaropus tricolor,EC,Quito--Reservorio de Cumbayá,Pichincha,2,-0.193,-78.426834,2354,10,2019
1190809376,Phalaropus tricolor,EC,Lago San Pablo,Imbabura,8,0.20874,-78.23227,2657,9,2009
2095335057,Phalaropus tricolor,EC,Quito airport pond,Pichincha,1,-0.109842,-78.36495,2341,10,2017
1778277955,Phalaropus tricolor,EC,Quito airport pond,Pichincha,3,-0.109842,-78.36495,2341,12,2016
2761106402,Phalaropus tricolor,EC,Quito--Reservorio de Cumbayá,Pichincha,10,-0.193,-78.426834,2354,10,2018
1772158271,Phalaropus tricolor,EC,Quito airport pond,Pichincha,4,-0.109842,-78.36495,2341,11,2016
2790185710,Phalaropus tricolor,EC,Quito--Reservorio de Cumbayá,Pichincha,1,-0.193,-78.426834,2354,10,2019
2769034766,Phalaropus tricolor,EC,Quito airport pond,Pichincha,1,-0.109842,-78.36495,2341,10,2016
1196283933,Phalaropus tricolor,EC,Quito airport pond,Pichincha,2,-0.109842,-78.36495,2341,11,2014
1776924384,Phalaropus tricolor,EC,Quito airport pond,Pichincha,2,-0.109842,-78.36495,2341,11,2016
1190861493,Phalaropus tricolor,EC,Lago San Pablo,Imbabura,4,0.20874,-78.23227,2657,10,2009
2193245219,Phalaropus tricolor,EC,Quito airport pond,Pichincha,2,-0.109842,-78.36495,2341,10,2018
3263874325,Phalaropus tricolor,EC,Quito--Reservorio de Cumbayá,Pichincha,2,-0.193,-78.426834,2354,9,2020
3563557837,Phalaropus tricolor,EC,Cochapungo,Imbabura,3,0.197609,-78.21516,2658,8,2021
3182566981,Phalaropus tricolor,EC,Quito--Reservorio de Cumbayá,Pichincha,1,-0.193,-78.426834,2354,10,2020
3550816581,Phalaropus tricolor,EC,Lago San Pablo--humedal de aguas residuales (water treatment wetland),Imbabura,4,0.199889,-78.2337,2660,10,2021
3182425304,Phalaropus tricolor,EC,Reservorio Guangopolo,Pichincha,1,-0.269851,-78.45281,2439,10,2020
2211081385,Phalaropus tricolor,EC,Quito--Reservorio de Cumbayá,Pichincha,5,-0.193,-78.426834,2354,10,2018
2205496570,Phalaropus tricolor,EC,Quito airport pond,Pichincha,14,-0.109842,-78.36495,2341,9,2018
1770492240,Phalaropus tricolor,EC,Quito airport pond,Pichincha,3,-0.109842,-78.36495,2341,10,2016
3578325416,Phalaropus tricolor,EC,Lago San Pablo,Imbabura,7,0.20874,-78.23227,2657,9,2021
1759843843,Phalaropus tricolor,EC,Quito airport pond,Pichincha,3,-0.109842,-78.36495,2341,9,2016
1786747702,Phalaropus tricolor,EC,Quito airport pond,Pichincha,4,-0.109842,-78.36495,2341,11,2015
2206120179,Phalaropus tricolor,EC,Quito airport pond,Pichincha,1,-0.109842,-78.36495,2341,11,2018
2423189850,Phalaropus tricolor,EC,,Pichincha,1,-0.195783,-78.430258,2356,9,2019
2422925534,Phalaropus tricolor,EC,,Pichincha,1,-0.110344,-78.36456,2340,9,2016
1776900505,Phalaropus tricolor,EC,Quito airport pond,Pichincha,2,-0.109842,-78.36495,2341,11,2016
1756589563,Phalaropus tricolor,EC,Quito airport pond,Pichincha,2,-0.109842,-78.36495,2341,8,2016
1759277865,Phalaropus tricolor,EC,Quito airport pond,Pichincha,1,-0.109842,-78.36495,2341,8,2016
3674371072,Phalaropus tricolor,EC,Reservorio Guangopolo,Pichincha,2,-0.269851,-78.45281,2439,3,2021
2097783722,Phalaropus tricolor,EC,Quito airport pond,Pichincha,13,-0.109842,-78.36495,2341,9,2017
2775207884,Phalaropus tricolor,EC,Quito airport pond,Pichincha,2,-0.109842,-78.36495,2341,10,2019
1196206253,Phalaropus tricolor,EC,Quito--Reservorio de Cumbayá,Pichincha,1,-0.193,-78.426834,2354,11,2014
2033066632,Phalaropus tricolor,EC,Quito airport pond,Pichincha,1,-0.109842,-78.36495,2341,1,2017
2034536850,Phalaropus tricolor,EC,Quito airport pond,Pichincha,1,-0.109842,-78.36495,2341,1,2017
2211860449,Phalaropus tricolor,EC,Quito airport pond,Pichincha,13,-0.109842,-78.36495,2341,9,2018
1771491348,Phalaropus tricolor,EC,Quito airport pond,Pichincha,1,-0.109842,-78.36495,2341,11,2016
2725205913,Phalaropus tricolor,EC,"20 oct. 2019 07:05-0,201, -78,235",Imbabura,15,0.201288,-78.23499,2661,10,2019
1190986255,Phalaropus tricolor,EC,Lago San Pablo,Imbabura,1,0.20874,-78.23227,2657,12,2012
3544976423,Phalaropus tricolor,EC,Lago San Pablo,Imbabura,2,0.20874,-78.23227,2657,10,2021
2702831890,Phalaropus tricolor,EC,Quito airport pond,Pichincha,2,-0.109842,-78.36495,2341,10,2019
1383773121,Phalaropus tricolor,EC,Quito airport pond,Pichincha,5,-0.109842,-78.36495,2341,8,2015
2104146296,Phalaropus tricolor,EC,Quito airport pond,Pichincha,3,-0.109842,-78.36495,2341,10,2017
3644155954,Phalaropus tricolor,EC,Lago San Pablo,Imbabura,8,0.20874,-78.23227,2657,9,2021
3196951888,Phalaropus tricolor,EC,Quito--Reservorio de Cumbayá,Pichincha,1,-0.193,-78.426834,2354,9,2020
2193701169,Phalaropus tricolor,EC,Quito--Reservorio de Cumbayá,Pichincha,10,-0.193,-78.426834,2354,10,2018
1172019440,Phalaropus tricolor,EC,Lago San Pablo,Imbabura,4,0.20874,-78.23227,2657,10,2013
2786864458,Phalaropus tricolor,EC,Quito airport pond,Pichincha,1,-0.109842,-78.36495,2341,10,2019
2039095688,Phalaropus tricolor,EC,Quito airport pond,Pichincha,1,-0.109842,-78.36495,2341,2,2017
2095781763,Phalaropus tricolor,EC,Quito--Reservorio de Cumbayá,Pichincha,5,-0.193,-78.426834,2354,10,2017
3631599750,Phalaropus tricolor,EC,Quito--Reservorio de Cumbayá,Pichincha,1,-0.193,-78.426834,2354,9,2021
2784574933,Phalaropus tricolor,EC,Quito--Reservorio de Cumbayá,Pichincha,1,-0.193,-78.426834,2354,10,2019
2088732559,Phalaropus tricolor,EC,Quito airport pond,Pichincha,1,-0.109842,-78.36495,2341,10,2017
1788242468,Phalaropus tricolor,EC,Quito airport pond,Pichincha,3,-0.109842,-78.36495,2341,9,2016
1769604509,Phalaropus tricolor,EC,Quito airport pond,Pichincha,2,-0.109842,-78.36495,2341,10,2016
3692832471,Phalaropus tricolor,EC,Quito--Reservorio de Cumbayá,Pichincha,1,-0.193,-78.426834,2354,8,2021
1788242695,Phalaropus tricolor,EC,Quito airport pond,Pichincha,3,-0.109842,-78.36495,2341,9,2016
2698650842,Phalaropus tricolor,EC,Quito--Reservorio de Cumbayá,Pichincha,5,-0.193,-78.426834,2354,9,2019
1195926935,Phalaropus tricolor,EC,"Quito, Airport Pond",Pichincha,1,-0.106602,-78.36527,2341,11,2014
977482924,Phalaropus tricolor,EC,Lago San Pablo,Imbabura,1,0.20874,-78.23227,2657,10,2013
1388561674,Phalaropus tricolor,EC,Quito airport pond,Pichincha,30,-0.109842,-78.36495,2341,9,2015
2203857554,Phalaropus tricolor,EC,Quito airport pond,Pichincha,12,-0.109842,-78.36495,2341,9,2018
2165425806,Phalaropus tricolor,EC,Quito--Reservorio de Cumbayá,Pichincha,1,-0.193,-78.426834,2354,12,2017
2103465776,Phalaropus tricolor,EC,Quito airport pond,Pichincha,4,-0.109842,-78.36495,2341,11,2017
2755153914,Phalaropus tricolor,EC,Quito--Reservorio de Cumbayá,Pichincha,1,-0.193,-78.426834,2354,10,2019
3172188232,Phalaropus tricolor,EC,Lago San Pablo,Imbabura,3,0.20874,-78.23227,2657,8,2020
1775289609,Phalaropus tricolor,EC,Quito airport pond,Pichincha,1,-0.109842,-78.36495,2341,10,2016
2090341321,Phalaropus tricolor,EC,Quito airport pond,Pichincha,3,-0.109842,-78.36495,2341,10,2017
2786823313,Phalaropus tricolor,EC,Quito airport pond,Pichincha,2,-0.109842,-78.36495,2341,10,2019
3682790035,Phalaropus tricolor,EC,Quito airport pond,Pichincha,16,-0.109842,-78.36495,2341,9,2021
3204303744,Phalaropus tricolor,EC,Quito--Reservorio de Cumbayá,Pichincha,2,-0.193,-78.426834,2354,10,2020
1193892714,Phalaropus tricolor,EC,Quito--Reservorio de Cumbayá,Pichincha,9,-0.193,-78.426834,2354,10,2014
3181374512,Phalaropus tricolor,EC,Lago San Pablo--humedal de aguas residuales (water treatment wetland),Imbabura,3,0.199889,-78.2337,2660,10,2020
2779773952,Phalaropus tricolor,EC,Quito--Reservorio de Cumbayá,Pichincha,1,-0.193,-78.426834,2354,10,2019
3682274793,Phalaropus tricolor,EC,Pantanal de Espejo,Imbabura,9,0.209061,-78.23808,2659,9,2021
2190756523,Phalaropus tricolor,EC,Quito--Reservorio de Cumbayá,Pichincha,14,-0.193,-78.426834,2354,10,2018
2102442757,Phalaropus tricolor,EC,Quito airport pond,Pichincha,3,-0.109842,-78.36495,2341,10,2017
982748343,Phalaropus tricolor,EC,Lago San Pablo,Imbabura,1,0.210203,-78.22471,2657,10,2007
2215335577,Phalaropus tricolor,EC,Quito airport pond,Pichincha,1,-0.109842,-78.36495,2341,11,2018
1775229248,Phalaropus tricolor,EC,Quito airport pond,Pichincha,1,-0.109842,-78.36495,2341,10,2016
2203773628,Phalaropus tricolor,EC,Quito airport pond,Pichincha,1,-0.109842,-78.36495,2341,11,2018
2032621485,Phalaropus tricolor,EC,Quito airport pond,Pichincha,1,-0.109842,-78.36495,2341,1,2017
1194377983,Phalaropus tricolor,EC,Quito--Reservorio de Cumbayá,Pichincha,4,-0.193,-78.426834,2354,11,2014
1190606753,Phalaropus tricolor,EC,Quito--Reservorio de Cumbayá,Pichincha,3,-0.193,-78.426834,2354,10,2014
2210713795,Phalaropus tricolor,EC,Quito airport pond,Pichincha,11,-0.109842,-78.36495,2341,9,2018
2781524893,Phalaropus tricolor,EC,Quito--Reservorio de Cumbayá,Pichincha,3,-0.193,-78.426834,2354,9,2019
1383147809,Phalaropus tricolor,EC,Quito airport pond,Pichincha,8,-0.109842,-78.36495,2341,8,2015
1385542434,Phalaropus tricolor,EC,Quito airport pond,Pichincha,21,-0.109842,-78.36495,2341,9,2015
1384447358,Phalaropus tricolor,EC,Quito airport pond,Pichincha,5,-0.109842,-78.36495,2341,8,2015
3638266966,Phalaropus tricolor,EC,Lago San Pablo,Imbabura,7,0.20874,-78.23227,2657,9,2021
2038468627,Phalaropus tricolor,EC,Quito airport pond,Pichincha,1,-0.109842,-78.36495,2341,1,2017
2232186329,Phalaropus tricolor,EC,Quito airport pond,Pichincha,1,-0.109842,-78.36495,2341,11,2018
2093082403,Phalaropus tricolor,EC,Quito airport pond,Pichincha,5,-0.109842,-78.36495,2341,9,2017
