gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2988415333,Tringa flavipes,EC,,Imbabura,1,0.199314,-78.234013,2658,9,2019
1776125683,Tringa flavipes,EC,Lago San Pablo,Imbabura,5,0.20874,-78.23227,2657,11,2016
3656228376,Tringa flavipes,EC,Lago San Pablo--humedal de aguas residuales (water treatment wetland),Imbabura,2,0.199889,-78.2337,2660,12,2021
848128428,Tringa flavipes,EC,Lago San Pablo--Parque Acuático Araque,Imbabura,1,0.205291,-78.20698,2659,2,2012
2703384884,Tringa flavipes,EC,Quito--Reservorio de Cumbayá,Pichincha,3,-0.193,-78.426834,2354,9,2018
2102445311,Tringa flavipes,EC,Quito airport pond,Pichincha,4,-0.109842,-78.36495,2341,10,2017
3657816464,Tringa flavipes,EC,Lago San Pablo--humedal de aguas residuales (water treatment wetland),Imbabura,2,0.199889,-78.2337,2660,12,2021
1190641027,Tringa flavipes,EC,Lago San Pablo,Imbabura,2,0.20874,-78.23227,2657,11,2009
3512323044,Tringa flavipes,EC,Lago San Pablo--humedal de aguas residuales (water treatment wetland),Imbabura,3,0.199889,-78.2337,2660,2,2021
1388561682,Tringa flavipes,EC,Quito airport pond,Pichincha,15,-0.109842,-78.36495,2341,9,2015
3587995005,Tringa flavipes,EC,Lago San Pablo--humedal de aguas residuales (water treatment wetland),Imbabura,6,0.199889,-78.2337,2660,1,2021
1777609209,Tringa flavipes,EC,Lago San Pablo,Imbabura,5,0.20874,-78.23227,2657,11,2016
3675286436,Tringa flavipes,EC,Lago San Pablo--humedal de aguas residuales (water treatment wetland),Imbabura,6,0.199889,-78.2337,2660,1,2021
2662619918,Tringa flavipes,EC,Quito airport pond,Pichincha,5,-0.109842,-78.36495,2341,3,2019
2732991064,Tringa flavipes,EC,Quito airport pond,Pichincha,1,-0.109842,-78.36495,2341,1,2019
2143057816,Tringa flavipes,EC,Quito airport pond,Pichincha,1,-0.109842,-78.36495,2341,3,2018
1197195201,Tringa flavipes,EC,Lago San Pablo,Imbabura,5,0.20874,-78.23227,2657,11,2014
3519091523,Tringa flavipes,EC,Lago San Pablo--humedal de aguas residuales (water treatment wetland),Imbabura,6,0.199889,-78.2337,2660,1,2021
