gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
3947829841,Sylvia deserti,MA,,Meknès - Tafilalet,1,31.229661,-4.124657,720,10,2022
3279979969,Sylvia deserti,MA,ضاية صريج | Dayet Srij,Meknès-Tafilalet,1,31.093885,-4.051035,696,1,2002
2832818473,Sylvia deserti,MA,Morocco - Bni M'Hamed Sijelmassa,,2,31.2929,-4.1082,745,4,2016
2838538822,Sylvia deserti,MA,Morocco - Région de Merzouga (Erfoud),,1,31.182539,-3.938987,733,12,2019
2835854247,Sylvia deserti,MA,Morocco - Bni M'Hamed Sijelmassa,,1,31.290141,-4.114472,740,9,2013
2839164670,Sylvia deserti,MA,Morocco - Région de Merzouga (Erfoud),,2,31.240655,-4.089431,733,2,2015
2330615437,Sylvia deserti,MA,Palmen an der R702,,1,31.526825,-4.465427,832,12,2013
2243591997,Sylvia deserti,MA,"Hassilabied, Errachidia Province, Meknes-Tafilalet",,1,31.1857,-4.0473,726,4,2012
2609685925,Sylvia deserti,MA,Erg Chebbi,,1,31.179,-3.98,740,10,2019
2243594708,Sylvia deserti,MA,"Hassilabied, Errachidia Province, Meknes-Tafilalet",,1,31.1857,-4.0473,726,4,2012
2131727533,Sylvia deserti,MA,مرزوكة -- كتبان عرق شبي | Erg Chebbi--Merzouga,Meknès-Tafilalet,1,31.08315,-3.999495,697,2,2018
2796118577,Sylvia deserti,MA,Erg Chebbi--noroest,Meknès-Tafilalet,3,31.201033,-4.026918,733,3,2016
3570955796,Sylvia deserti,MA,"Drâa-Tafilalet, MA (31.322, -4.028)",Meknès-Tafilalet,1,31.322409,-4.028292,771,11,2021
2100306074,Sylvia deserti,MA,"Merzouga, Meknes-Tafilalet",Meknès-Tafilalet,2,31.117699,-3.934729,702,10,2017
2724830154,Sylvia deserti,MA,Merzouga-Rissani,Meknès-Tafilalet,1,31.232,-4.083,744,4,2019
2037919342,Sylvia deserti,MA,African Desert Warbler location,Meknès-Tafilalet,1,31.230326,-3.944285,725,2,2017
2698317623,Sylvia deserti,MA,"N10, Drâa-Tafilalet, MA (31.781, -4.739)",Meknès-Tafilalet,2,31.780521,-4.738764,1069,9,2019
2232826518,Sylvia deserti,MA,Mhamid,Sous-Massa-Draa,1,29.836363,-5.775528,529,10,2012
2143413287,Sylvia deserti,MA,Erfoud Erg Chebbi,Meknès-Tafilalet,2,31.188648,-4.031939,719,3,2018
2717826928,Sylvia deserti,MA,مرزوكة -- كتبان عرق شبي | Erg Chebbi--Merzouga,Meknès-Tafilalet,1,31.08315,-3.999495,697,3,2009
2776240689,Sylvia deserti,MA,Koudïat Mih Jrane,Meknès-Tafilalet,1,31.24111,-4.083794,729,4,2016
3245718399,Sylvia deserti,MA,Erg Chebbi--Hassilabied,Meknès-Tafilalet,2,31.143082,-3.998165,740,3,2020
2750457953,Sylvia deserti,MA,"(31.1954,-3.9185)",Meknès-Tafilalet,1,31.195438,-3.918475,730,4,2019
2769739409,Sylvia deserti,MA,Erg Chebbi--nord,Meknès-Tafilalet,1,31.212925,-3.9884,736,5,2019
2048024582,Sylvia deserti,MA,African Desert Warbler location,Meknès-Tafilalet,1,31.230326,-3.944285,725,2,2017
2715413349,Sylvia deserti,MA,Auberge Derkaoua,Meknès-Tafilalet,4,31.28981,-4.091935,747,2,2010
2772635928,Sylvia deserti,MA,"N12, Drâa-Tafilalet, MA (30,206, -6,009)",Sous-Massa-Draa,1,30.205791,-6.009047,745,12,2017
2786779365,Sylvia deserti,MA,"Erg Chebbi (31.2538, -3.9219)",Meknès-Tafilalet,1,31.2538,-3.9219,744,5,2019
2726410401,Sylvia deserti,MA,"(31.2179,-3.9761)",Meknès-Tafilalet,1,31.217861,-3.976134,740,12,2019
2232755594,Sylvia deserti,MA,مرزوكة -- كتبان عرق شبي | Erg Chebbi--Merzouga,Meknès-Tafilalet,1,31.08315,-3.999495,697,2,2008
3214831160,Sylvia deserti,MA,Koudïat Mih Jrane,Meknès-Tafilalet,2,31.24111,-4.083794,729,3,2008
3215515101,Sylvia deserti,MA,Koudïat Mih Jrane,Meknès-Tafilalet,4,31.24111,-4.083794,729,3,2008
